,Trial #,Replicate Number,Fly Sex,24 hour consumption,48 hour consumption,total consumption (mm),total consumption (ul),Red Count,Green Count
0,1,1,F,17,25,21.0,1.9090909090000001,0,0
2,1,2,F,24,33,28.5,2.590909091,58,8
4,1,3,F,36,63,49.5,4.5,15,0
6,1,4,F,16,39,27.5,2.5,5,0
8,1,5,F,23,33,28.0,2.545454545,8,6
10,1,6,F,16,26,21.0,1.9090909090000001,0,0
12,1,7,F,50,71,60.5,5.5,0,1
14,1,8,F,37,50,43.5,3.954545455,0,1
16,1,9,F,11,20,15.5,1.4090909090000001,0,1
18,1,10,F,27,38,32.5,2.954545455,0,1
20,1,11,F,16,33,24.5,2.227272727,0,1
22,1,12,F,12,43,27.5,2.5,0,0
24,1,13,F,15,22,18.5,1.6818181819999998,2,2
26,1,14,F,22,36,29.0,2.636363636,0,1
28,1,15,F,35,49,42.0,3.8181818180000002,0,2
30,1,16,F,24,39,31.5,2.8636363639999995,7,1
32,1,17,F,13,20,16.5,1.5,5,4
34,1,18,F,18,32,25.0,2.272727273,5,0
36,1,19,F,25,30,27.5,2.5,4,1
38,1,20,F,21,38,29.5,2.6818181819999998,6,1
40,1,21,F,15,35,25.0,2.272727273,8,1
42,1,22,F,21,30,25.5,2.3181818180000002,6,0
44,1,23,F,16,24,20.0,1.8181818180000002,5,0
46,1,24,F,22,40,31.0,2.8181818180000002,97,5
48,1,25,F,27,44,35.5,3.227272727,4,2
50,1,26,F,22,34,28.0,2.545454545,9,2
52,1,27,F,20,28,24.0,2.1818181819999998,18,5
54,1,28,F,16,25,20.5,1.863636364,3,2
56,1,29,F,24,32,28.0,2.545454545,3,1
58,1,30,F,30,66,48.0,4.3636363639999995,6,0
60,1,1,F,17,25,21.0,1.9090909090000001,0,0
62,1,2,F,24,33,28.5,2.590909091,18,1
64,1,3,F,36,63,49.5,4.5,3,0
66,1,4,F,16,39,27.5,2.5,0,0
68,1,5,F,23,33,28.0,2.545454545,0,0
70,1,6,F,16,26,21.0,1.9090909090000001,0,0
72,1,7,F,50,71,60.5,5.5,16,2
74,1,8,F,37,50,43.5,3.954545455,0,0
76,1,9,F,11,20,15.5,1.4090909090000001,1,0
78,1,10,F,27,38,32.5,2.954545455,0,0
80,1,11,F,16,33,24.5,2.227272727,1,0
82,1,12,F,12,43,27.5,2.5,0,0
84,1,13,F,15,22,18.5,1.6818181819999998,4,0
86,1,14,F,22,36,29.0,2.636363636,0,0
88,1,15,F,35,49,42.0,3.8181818180000002,1,0
90,1,16,F,24,39,31.5,2.8636363639999995,6,0
92,1,17,F,13,20,16.5,1.5,0,0
94,1,18,F,18,32,25.0,2.272727273,0,0
96,1,19,F,25,30,27.5,2.5,0,0
98,1,20,F,21,38,29.5,2.6818181819999998,19,0
100,1,21,F,15,35,25.0,2.272727273,1,0
102,1,22,F,21,30,25.5,2.3181818180000002,0,0
104,1,23,F,16,24,20.0,1.8181818180000002,0,0
106,1,24,F,22,40,31.0,2.8181818180000002,20,0
108,1,25,F,27,44,35.5,3.227272727,0,0
110,1,26,F,22,34,28.0,2.545454545,2,0
112,1,27,F,20,28,24.0,2.1818181819999998,0,0
114,1,28,F,16,25,20.5,1.863636364,0,0
116,1,29,F,24,32,28.0,2.545454545,0,0
118,1,30,F,30,66,48.0,4.3636363639999995,25,9
120,1,1,F,17,25,21.0,1.9090909090000001,0,1
122,1,2,F,24,33,28.5,2.590909091,0,0
124,1,3,F,36,63,49.5,4.5,17,11
126,1,4,F,16,39,27.5,2.5,1,0
128,1,5,F,23,33,28.0,2.545454545,1,0
130,1,6,F,16,26,21.0,1.9090909090000001,0,0
132,1,7,F,50,71,60.5,5.5,3,0
134,1,8,F,37,50,43.5,3.954545455,3,1
136,1,9,F,11,20,15.5,1.4090909090000001,0,0
138,1,10,F,27,38,32.5,2.954545455,0,0
140,1,11,F,16,33,24.5,2.227272727,0,0
142,1,12,F,12,43,27.5,2.5,0,0
144,1,13,F,15,22,18.5,1.6818181819999998,0,0
146,1,14,F,22,36,29.0,2.636363636,0,0
148,1,15,F,35,49,42.0,3.8181818180000002,0,0
150,1,16,F,24,39,31.5,2.8636363639999995,0,3
152,1,17,F,13,20,16.5,1.5,0,0
154,1,18,F,18,32,25.0,2.272727273,9,0
156,1,19,F,25,30,27.5,2.5,19,0
158,1,20,F,21,38,29.5,2.6818181819999998,0,6
160,1,21,F,15,35,25.0,2.272727273,0,3
162,1,22,F,21,30,25.5,2.3181818180000002,0,7
164,1,23,F,16,24,20.0,1.8181818180000002,46,1
166,1,24,F,22,40,31.0,2.8181818180000002,6,0
168,1,25,F,27,44,35.5,3.227272727,12,1
170,1,26,F,22,34,28.0,2.545454545,0,6
172,1,27,F,20,28,24.0,2.1818181819999998,1,3
174,1,28,F,16,25,20.5,1.863636364,11,0
176,1,29,F,24,32,28.0,2.545454545,15,1
178,1,30,F,30,66,48.0,4.3636363639999995,23,6
180,1,1,M ,14,16,15.0,1.363636364,6,0
182,1,2,M ,13,23,18.0,1.636363636,6,1
184,1,3,M ,7,16,11.5,1.045454545,6,3
186,1,4,M ,8,25,16.5,1.5,3,1
188,1,5,M ,9,16,12.5,1.136363636,230,89
190,1,6,M ,16,27,21.5,1.954545455,0,0
192,1,7,M ,9,15,12.0,1.0909090909999999,0,0
194,1,8,M ,19,32,25.5,2.3181818180000002,0,0
196,1,9,M ,6,19,12.5,1.136363636,0,1
198,1,10,M ,10,22,16.0,1.454545455,0,0
200,1,11,M ,20,32,26.0,2.363636364,24,1
202,1,12,M ,10,22,16.0,1.454545455,2,0
204,1,13,M ,12,24,18.0,1.636363636,0,0
206,1,14,M ,9,17,13.0,1.181818182,3,0
208,1,15,M ,16,32,24.0,2.1818181819999998,11,0
210,1,16,M ,19,30,24.5,2.227272727,19,0
212,1,17,M ,9,19,14.0,1.2727272729999999,4,1
214,1,18,M ,17,28,22.5,2.045454545,3,3
216,1,19,M ,12,21,16.5,1.5,34,3
218,1,20,M ,6,21,13.5,1.2272727270000001,54,0
220,1,21,M ,24,36,30.0,2.727272727,52,2
222,1,22,M ,17,33,25.0,2.272727273,1,0
224,1,23,M ,14,27,20.5,1.863636364,10,7
226,1,24,M ,21,30,25.5,2.3181818180000002,0,0
228,1,25,M ,17,30,23.5,2.136363636,12,3
230,1,26,M ,12,22,17.0,1.545454545,50,2
232,1,27,M ,17,34,25.5,2.3181818180000002,6,2
234,1,28,M ,10,18,14.0,1.2727272729999999,8,4
236,1,29,M ,10,19,14.5,1.318181818,0,0
238,1,30,M ,11,21,16.0,1.454545455,4,0
240,1,1,M ,14,16,15.0,1.363636364,167,16
242,1,2,M ,13,23,18.0,1.636363636,674,64
244,1,3,M ,7,16,11.5,1.045454545,514,52
246,1,4,M ,8,25,16.5,1.5,408,53
248,1,5,M ,9,16,12.5,1.136363636,593,60
250,1,6,M ,16,27,21.5,1.954545455,518,75
252,1,7,M ,9,15,12.0,1.0909090909999999,108,14
254,1,8,M ,19,32,25.5,2.3181818180000002,454,16
256,1,9,M ,6,19,12.5,1.136363636,598,98
258,1,10,M ,10,22,16.0,1.454545455,497,44
260,1,11,M ,20,32,26.0,2.363636364,484,23
262,1,12,M ,10,22,16.0,1.454545455,424,132
264,1,13,M ,12,24,18.0,1.636363636,517,54
266,1,14,M ,9,17,13.0,1.181818182,328,44
268,1,15,M ,16,32,24.0,2.1818181819999998,441,93
270,1,16,M ,19,30,24.5,2.227272727,4,0
272,1,17,M ,9,19,14.0,1.2727272729999999,2,0
274,1,18,M ,17,28,22.5,2.045454545,0,0
276,1,19,M ,12,21,16.5,1.5,0,0
278,1,20,M ,6,21,13.5,1.2272727270000001,22,0
280,1,21,M ,24,36,30.0,2.727272727,0,0
282,1,22,M ,17,33,25.0,2.272727273,1,0
284,1,23,M ,14,27,20.5,1.863636364,3,1
286,1,24,M ,21,30,25.5,2.3181818180000002,0,0
288,1,25,M ,17,30,23.5,2.136363636,1,0
290,1,26,M ,12,22,17.0,1.545454545,10,2
292,1,27,M ,17,34,25.5,2.3181818180000002,2,0
294,1,28,M ,10,18,14.0,1.2727272729999999,1,0
296,1,29,M ,10,19,14.5,1.318181818,0,0
298,1,30,M ,11,21,16.0,1.454545455,3,0
300,1,1,M ,14,16,15.0,1.363636364,0,0
302,1,2,M ,13,23,18.0,1.636363636,0,0
304,1,3,M ,7,16,11.5,1.045454545,0,0
306,1,4,M ,8,25,16.5,1.5,0,0
308,1,5,M ,9,16,12.5,1.136363636,3,0
310,1,6,M ,16,27,21.5,1.954545455,0,0
312,1,7,M ,9,15,12.0,1.0909090909999999,0,0
314,1,8,M ,19,32,25.5,2.3181818180000002,0,0
316,1,9,M ,6,19,12.5,1.136363636,0,0
318,1,10,M ,10,22,16.0,1.454545455,0,0
320,1,11,M ,20,32,26.0,2.363636364,0,0
322,1,12,M ,10,22,16.0,1.454545455,0,0
324,1,13,M ,12,24,18.0,1.636363636,0,0
326,1,14,M ,9,17,13.0,1.181818182,0,0
328,1,15,M ,16,32,24.0,2.1818181819999998,0,0
330,1,16,M ,19,30,24.5,2.227272727,0,0
332,1,17,M ,9,19,14.0,1.2727272729999999,0,0
334,1,18,M ,17,28,22.5,2.045454545,0,0
336,1,19,M ,12,21,16.5,1.5,0,0
338,1,20,M ,6,21,13.5,1.2272727270000001,0,74
340,1,21,M ,24,36,30.0,2.727272727,0,0
342,1,22,M ,17,33,25.0,2.272727273,0,0
344,1,23,M ,14,27,20.5,1.863636364,0,0
346,1,24,M ,21,30,25.5,2.3181818180000002,0,0
348,1,25,M ,17,30,23.5,2.136363636,0,0
350,1,26,M ,12,22,17.0,1.545454545,0,1
352,1,27,M ,17,34,25.5,2.3181818180000002,0,0
354,1,28,M ,10,18,14.0,1.2727272729999999,0,0
356,1,29,M ,10,19,14.5,1.318181818,0,0
358,1,30,M ,11,21,16.0,1.454545455,0,0
360,2,1,M,14,16,15.0,1.363636364,356,86
362,2,2,M,13,23,18.0,1.636363636,13,0
364,2,3,M,7,16,11.5,1.045454545,147,15
366,2,4,M,8,25,16.5,1.5,201,12
368,2,5,M,9,16,12.5,1.136363636,17,0
370,2,6,M,16,27,21.5,1.954545455,41,0
372,2,7,M,9,15,12.0,1.0909090909999999,14,1
374,2,8,M,19,32,25.5,2.3181818180000002,27,2
376,2,9,M,6,19,12.5,1.136363636,80,24
378,2,10,M,10,22,16.0,1.454545455,59,21
380,2,11,M,20,32,26.0,2.363636364,25,0
382,2,12,M,10,22,16.0,1.454545455,0,0
384,2,13,M,12,24,18.0,1.636363636,0,1
386,2,14,M,9,17,13.0,1.181818182,153,0
388,2,15,M,16,32,24.0,2.1818181819999998,8,0
390,2,16,M,19,30,24.5,2.227272727,11,1
392,2,17,M,9,19,14.0,1.2727272729999999,70,1
394,2,18,M,17,28,22.5,2.045454545,58,1
396,2,19,M,12,21,16.5,1.5,35,3
398,2,20,M,6,21,13.5,1.2272727270000001,25,5
400,2,21,M,24,36,30.0,2.727272727,0,0
402,2,22,M,17,33,25.0,2.272727273,45,13
404,2,23,M,14,27,20.5,1.863636364,40,3
406,2,24,M,21,30,25.5,2.3181818180000002,5,0
408,2,25,M,17,30,23.5,2.136363636,8,3
410,2,26,M,12,22,17.0,1.545454545,129,106
412,2,27,M,17,34,25.5,2.3181818180000002,33,2
414,2,28,M,10,18,14.0,1.2727272729999999,43,34
416,2,29,M,10,19,14.5,1.318181818,125,0
418,2,30,M,11,21,16.0,1.454545455,63,1
420,2,1,F,17,25,21.0,1.9090909090000001,14,2
422,2,2,F,24,33,28.5,2.590909091,27,3
424,2,3,F,36,63,49.5,4.5,18,3
426,2,4,F,16,39,27.5,2.5,353,2
428,2,5,F,23,33,28.0,2.545454545,71,7
430,2,6,F,16,26,21.0,1.9090909090000001,17,0
432,2,7,F,50,71,60.5,5.5,2,17
434,2,8,F,37,50,43.5,3.954545455,2,14
436,2,9,F,11,20,15.5,1.4090909090000001,29,1
438,2,10,F,27,38,32.5,2.954545455,51,13
440,2,11,F,16,33,24.5,2.227272727,100,1
442,2,12,F,12,43,27.5,2.5,90,2
