,Photo Date,Photo ID ,Photographed By,Date Plated,Plated by,Date of Trial (Monday),Set ID,Strain,Week Number,Replicate Number,# flies,Sex,"Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))
","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),Consumption 24 Hrs,Consumption 48 Hrs,total consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,,101 0017 ,,1/11/17,,,,,,15,,F,T,10-4,,,,,,K.L,,,,,,,,,
3,,101 0018,,1/11/17,,,,,,14,,F,T,10-4,,,,,,K.L,,,,,,,,,
5,,101 0019,,1/11/17,,,,,,13,,F,T,10-4,,,,,,K.L,,,,,,,,,
7,,101 0020,,1/11/17,,,,,,12,,F,T,10-4,,,,,,K.L,,,,,,,,,
9,,101 0021 ,,1/11/17,,,,,,11,,F,T,10-4,,,,,,K.L,,,,,,,,,
11,,101 0022,,1/11/17,,,,,,10,,F,T,10-4,,,,,,K.L,,,,,,,,,
13,,101 0024,,1/11/17,,,,,,9,,F,T,10-4,,,,,,K.L,,,,,,,,,
15,,101 0026,,1/11/17,,,,,,8,,F,T,10-4,,,,,,K.L,,,,,,,,,
17,,101 0027,,1/11/17,,,,,,6,,F,T,10-4,,,,,,K.L,,,,,,,,,
19,,101 0028 ,,1/11/17,,,,,,5,,F,T,10-4,,,,,,K.L,,,,,,,,,
21,,101 0029,,1/11/17,,,,,,4,,F,T,10-4,,,,,,K.L,,,,,,,,,
23,,101 0030,,1/11/17,,,,,,3,,F,T,10-4,,,,,,K.L,,,,,,,,,
25,,101 0031,,1/11/17,,,,,,2,,F,T,10-4,,,,,,K.L,,,,,,,,,
27,,101 0033,,1/11/17,,,,,,1,,F,T,10-4,,,,,,K.L,,,,,,,,,
29,,101 0034,,1/11/17,,,,,,1,,F,C,10-4,,,,,,K.L,,,,,,,,,
31,,101 0035,,1/11/17,,,,,,3,,F,C,10-1,,,,,,K.L,,,,,,,,,
33,,101 0036,,1/11/17,,,,,,2,,F,C,10-4,,,,,,K.L,,,,,,,,,
35,,101 0037,,1/11/17,,,,,,4,,F,C,10-4,,,,,,K.L,,,,,,,,,
37,,101 0038,,1/11/17,,,,,,5,,F,C,10-4,,,,,,K.L,,,,,,,,,
39,,101 0039,,1/11/17,,,,,,6,,F,C,10-4,,,,,,K.L,,,,,,,,,
41,,101 0040,,1/11/17,,,,,,7,,F,C,10-4,,,,,,K.L,,,,,,,,,
43,,101 0042,,1/11/17,,,,,,8,,F,C,10-4,,,,,,K.L,,,,,,,,,
45,,101 0043,,1/11/17,,,,,,9,,F,C,10-4,,,,,,K.L,,,,,,,,,
47,,101 0044,,1/11/17,,,,,,10,,F,C,10-4,,,,,,K.L,,,,,,,,,
49,,101 0045,,1/11/17,,,,,,11,,F,C,10-4,,,,,,K.L,,,,,,,,,
51,,101 0046,,1/11/17,,,,,,12,,F,C,10-4,,,,,,K.L,,,,,,,,,
53,,101 0047,,1/11/17,,,,,,13,,F,C,10-4,,,,,,K.L,,,,,,,,,
55,,101 0048,,1/11/17,,,,,,14,,F,C,10-4,,,,,,K.L,,,,,,,,,
57,,101 0049,,1/11/17,,,,,,15,,F,C,10-4,,,,,,K.L,,,,,,,,,
59,,101 0050,,1/11/17,,,,,,1,,M,C,10-4,,,,,,K.L,,,,,,,,,
61,,101 0051,,1/11/17,,,,,,2,,M,C,10-4,,,,,,K.L,,,,,,,,,
63,,101 0052,,1/11/17,,,,,,3,,M,C,10-4,,,,,,K.L,,,,,,,,,
65,,101 0053,,1/11/17,,,,,,4,,M,C,10-4,,,,,,K.L,,,,,,,,,
67,,101 0054,,1/11/17,,,,,,5,,M,C,10-4,,,,,,K.L,,,,,,,,,
69,,101 0055,,1/11/17,,,,,,6,,M,C,10-4,,,,,,K.L,,,,,,,,,
71,,101 0056,,1/11/17,,,,,,7,,M,C,10-4,,,,,,K.L,,,,,,,,,
73,,101 0057,,1/11/17,,,,,,8,,M,C,10-4,,,,,,K.L,,,,,,,,,
75,,101 0058,,1/11/17,,,,,,9,,M,C,10-4,,,,,,K.L,,,,,,,,,
77,,101 0059,,1/11/17,,,,,,10,,M,C,10-4,,,,,,K.L,,,,,,,,,
79,,101 0060 ,,1/11/17,,,,,,11,,M,C,10-4,,,,,,K.L,,,,,,,,,
81,,101 0061,,1/11/17,,,,,,12,,M,C,10-4,,,,,,K.L,,,,,,,,,
83,,101 0062,,1/11/17,,,,,,13,,M,C,10-4,,,,,,K.L,,,,,,,,,
85,,101 0063,,1/11/17,,,,,,14,,M,C,10-4,,,,,,K.L,,,,,,,,,
87,,101 0064,,1/11/17,,,,,,15,,M,C,10-4,,,,,,K.L,,,,,,,,,
89,,101 0065,,1/11/17,,,,,,12,,F,T,10-3,,,,,,K.L,,,,,,,,,
91,,101 0066,,1/11/17,,,,,,13,,F,T,10-3,,,,,,K.L,,,,,,,,,
93,,101 0067,,1/11/17,,,,,,14,,F,T,10-3,,,,,,K.L,,,,,,,,,
95,,101 0069,,1/11/17,,,,,,15,,F,T,10-3,,,,,,K.L,,,,,,,,,
97,,101 0070 ,,1/11/17,,,,,,8,,F,T,10-3,,,,,,K.L,,,,,,,,,
99,,101 0072,,1/11/17,,,,,,9,,F,T,10-3,,,,,,K.L,,,,,,,,,
101,,101 0073,,1/11/17,,,,,,10,,F,T,10-3,,,,,,K.L,,,,,,,,,
103,,101 0075,,1/11/17,,,,,,11,,F,T,10-3,,,,,,K.L,,,,,,,,,
105,,101 0076,,1/11/17,,,,,,6,,F,T,10-3,,,,,,K.L,,,,,,,,,
107,,101 0077,,1/11/17,,,,,,5,,F,T,10-3,,,,,,K.L,,,,,,,,,
109,,101 0078,,1/11/17,,,,,,4,,F,T,10-3,,,,,,K.L,,,,,,,,,
111,,101 0079,,1/11/17,,,,,,3,,F,T,10-3,,,,,,K.L,,,,,,,,,
113,,101 0080,,1/11/17,,,,,,2,,F,T,10-3,,,,,,K.L,,,,,,,,,
115,,101 0081,,1/11/17,,,,,,1,,F,T,10-3,,,,,,K.L,,,,,,,,,
117,,101 0082,,1/11/17,,,,,,1,,F,C,10-3,,,,,,K.L,,,,,,,,,
119,,101 0083 ,,1/11/17,,,,,,2,,F,C,10-3,,,,,,K.L,,,,,,,,,
121,,101 0084,,1/11/17,,,,,,3,,F,C,10-3,,,,,,K.L,,,,,,,,,
123,,101 0085,,1/11/17,,,,,,4,,F,C,10-3,,,,,,K.L,,,,,,,,,
125,,101 0086,,1/11/17,,,,,,5,,F,C,10-3,,,,,,K.L,,,,,,,,,
127,,101 0087,,1/11/17,,,,,,6,,F,C,10-3,,,,,,K.L,,,,,,,,,
129,,101 0088,,1/11/17,,,,,,7,,F,C,10-5,,,,,,K.L,,,,,,,,,
131,,101 0089,,1/11/17,,,,,,8,,F,C,10-3,,,,,,K.L,,,,,,,,,
133,,101 0090 ,,1/11/17,,,,,,9,,F,C,10-3,,,,,,K.L,,,,,,,,,
135,,101 0091,,1/11/17,,,,,,10,,F,C,10-3,,,,,,K.L,,,,,,,,,
137,,101 0092,,1/11/17,,,,,,11,,F,C,10-3,,,,,,K.L,,,,,,,,,
139,,101 0093,,1/11/17,,,,,,12,,F,C,10-3,,,,,,K.L,,,,,,,,,
141,,101 0094,,1/11/17,,,,,,13,,F,C,10-3,,,,,,K.L,,,,,,,,,
143,,101 0095,,1/11/17,,,,,,15,,F,C,10-3,,,,,,K.L,,,,,,,,,
145,,101 0096,,1/11/17,,,,,,14,,F,C,10-3,,,,,,K.L,,,,,,,,,
147,,101 0097,,1/11/17,,,,,,15,,M,T,10-4,,,,,,K.L,,,,,,,,,
149,,101 0098,,1/11/17,,,,,,14,,M,T,10-4,,,,,,K.L,,,,,,,,,
151,,101 0099,,1/11/17,,,,,,13,,M,T,10-4,,,,,,K.L,,,,,,,,,
153,,101 0100,,1/11/17,,,,,,12,,M,T,10-4,,,,,,K.L,,,,,,,,,
155,,101 0101,,1/11/17,,,,,,11,,M,T,10-4,,,,,,K.L,,,,,,,,,
157,,101 0102,,1/11/17,,,,,,10,,M,T,10-4,,,,,,K.L,,,,,,,,,
159,,101 0104,,1/11/17,,,,,,1,,M,T,10-4,,,,,,K.L,,,,,,,,,
161,,101 0105,,1/11/17,,,,,,8,,M,T,10-4,,,,,,K.L,,,,,,,,,
163,,101 0107,,1/11/17,,,,,,7,,M,T,10-4,,,,,,K.L,,,,,,,,,
165,,101 0108,,1/11/17,,,,,,6,,M,T,10-4,,,,,,K.L,,,,,,,,,
167,,101 0109,,1/11/17,,,,,,5,,M,T,10-4,,,,,,K.L,,,,,,,,,
169,,101 0111,,1/11/17,,,,,,3,,M,T,10-4,,,,,,K.L,,,,,,,,,
171,,101 0112 ,,1/11/17,,,,,,1,,M,T,10-4,,,,,,K.L,,,,,,,,,
173,,101 0113,,1/11/17,,,,,,2,,M,T,10-4,,,,,,K.L,,,,,,,,,
175,,102 0114,,1/11/17,,,,,,15,,M,T,10-3,,,,,,K.L,,,,,,,,,
177,,102 0116,,1/11/17,,,,,,14,,M,T,10-3,,,,,,K.L,,,,,,,,,
179,,102 0118,,1/11/17,,,,,,13,,M,T,10-3,,,,,,K.L,,,,,,,,,
181,,102 0119 ,,1/11/17,,,,,,12,,M,T,10-3,,,,,,K.L,,,,,,,,,
183,,102 0020,,1/11/17,,,,,,11,,M,T,10-3,,,,,,K.L,,,,,,,,,
185,,102 0022,,1/11/17,,,,,,6,,M,T,10-3,,,,,,K.L,,,,,,,,,
187,,102 0023,,1/11/17,,,,,,7,,M,T,10-3,,,,,,K.L,,,,,,,,,
189,,102 0024,,1/11/17,,,,,,8,,M,T,10-3,,,,,,K.L,,,,,,,,,
191,,102 0026,,1/11/17,,,,,,9,,M,T,10-3,,,,,,K.L,,,,,,,,,
193,,102 0127,,1/11/17,,,,,,10,,M,T,10-3,,,,,,K.L,,,,,,,,,
195,,102 0129,,1/11/17,,,,,,1,,M,T,10-3,,,,,,K.L,,,,,,,,,
197,,102 0130,,1/11/17,,,,,,2,,M,T,10-3,,,,,,K.L,,,,,,,,,
