,Photo Date ,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
",Set ID,Strain,Plate ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,4/17/17,112 0732,,4/14/17,,4/10/17,,WA,,,2,1,,F,GOT ,10-5,102,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
3,4/17/17,112 0733,,4/14/17,,4/10/17,,WA,,,2,1,,F,GOT ,10-4,576*,0,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,*contaminated
5,4/17/17,112 0736,,4/14/17,,4/10/17,,WA,,,2,1,,F,GOT ,10-3,NC,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
7,4/17/17,112 0742,,4/14/17,,4/10/17,,WA,,,2,2,,F,GOT ,10-5,0,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
9,4/17/17,112 0744,,4/14/17,,4/10/17,,WA,,,2,2,,F,GOT ,10-4,NC,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
11,5/24/17,129 2242,,4/14/17,,4/10/17,,WA,,,2,2,,F,GOT ,10-3,80,0,80,analog,,KMM,,,,,spore,vegetative,,,contaminated
13,4/17/17,112 0768,,4/14/17,,4/10/17,,WA,,,2,3,,F,GOT ,10-5,62,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
15,5/24/17,129 2244,,4/14/17,,4/10/17,,WA,,,2,3,,F,GOT ,10-4,0,0,0,analog,,KMM,,,,,spore,vegetative,,,contaminated
17,5/24/17,129 2248,,4/14/17,,4/10/17,,WA,,,2,3,,F,GOT ,10-3,1,0,1,analog,,KMM,,,,,spore,vegetative,,,contaminated
19,5/24/17,129 2247,,,,4/10/17,,WA,,,2,4,,F,GOT ,10-3,0,0,0,analog,,KMM,,,,,spore,vegetative,,,contaminated
