, Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
(Monday)",Set ID,Strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
1,2/22/18,176 5533,,4/17/17,HB,4/17/17,,WE,3,1:1,,,B,10-3,147,208,355,analog,KL,FW,FW,,,,spore,vegetative,,,,,,,,,,,,,,
3,2/22/18,177 5534,,4/17/17,HB,4/17/17,,WE,3,1:1,,,B,10-4,18,33,51,analog,KL,FW,FW,,,,spore,vegetative,,,,,,,,,,,,,,
5,2/22/18,176 5535,,4/17/17,HB,4/17/17,,WE,3,1:1,,,B,10-5,1,2,3,analog,KL,FW,FW,,,,spore,vegetative,,,,,,,,,,,,,,
7,,,,4/17/17,,4/17/17,,WE,3,1,,,C,10-3,154,206,360,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
9,,,,4/17/17,,4/17/17,,WE,3,1,,,C,10-4,19,16,35,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
11,,,,4/17/17,,4/17/17,,WE,3,1,,,C,10-5,40,29,69,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
13,,,,4/17/17,,4/17/17,,WE,3,2,,,C,10-3,623,424,1047,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
15,,,,4/17/17,,4/17/17,,WE,3,2,,,C,10-4,106,146,252,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
17,,,,4/17/17,,4/17/17,,WE,3,2,,,C,10-5,4,5,9,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
19,,,,4/17/17,,4/17/17,,WE,3,3,,,C,10-3,254,175,429,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
21,,,,4/17/17,,4/17/17,,WE,3,3,,,C,10-4,34,17,51,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
23,,,,4/17/17,,4/17/17,,WE,3,3,,,C,10-5,6,3,9,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
25,,,,4/17/17,HB,4/17/17,,WE,3,4,,,C,10-3,348,487,835,analog,LDM,HB,,,,,spore,vegetative,,,,,,,,,,,,,,
27,,,,4/17/17,HB,4/17/17,,WE,3,4,,,C,10-4,85,51,136,analog,BC,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
29,,,,4/17/17,HB,4/17/17,,WE,3,4,,,C,10-5,25,22,47,analog,BC,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
31,,,,4/17/17,HB,4/17/17,,WE,3,5,,,C,10-3,104,84,188,analog,LDM,HB,,,,,spore,vegetative,,,,,,,,,,,,,,
33,,,,4/17/17,HB,4/17/17,,WE,3,5,,,C,10-4,24,19,43,analog,LDM,HB,,,,,spore,vegetative,,,,,,,,,,,,,,
35,,,,4/17/17,HB,4/17/17,,WE,3,5,,,C,10-5,4,2,6,analog,LDM,HB,,,,,spore,vegetative,,,,,,,,,,,,,,
37,,,,4/17/17,HB,4/17/17,,WE,3,6,,,C,10-3,137,177,314,analog,LDM,HB,,,,,spore,vegetative,,,,,,,,,,,,,,
39,,,,4/17/17,HB,4/17/17,,WE,3,6,,,C,10-4,49,46,95,analog,LDM,HB,,,,,spore,vegetative,,,,,,,,,,,,,,
41,,,,4/17/17,HB,4/17/17,,WE,3,6,,,C,10-5,8,9,17,analog,LDM,HB,,,,,spore,vegetative,,,,,,,,,,,,,,
43,,,,4/17/17,,4/17/17,,WE,3,7,,,C,10-3,662,463,1125,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
45,,,,4/17/17,,4/17/17,,WE,3,7,,,C,10-4,110,108,218,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
47,,,,4/17/17,,4/17/17,,WE,3,7,,,C,10-5,14,10,24,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
49,,,,4/17/17,,4/17/17,,WE,3,8,,,C,10-3,447,473,920,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
51,,,,4/17/17,,4/17/17,,WE,3,8,,,C,10-4,16,17,33,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
53,,,,4/17/17,,4/17/17,,WE,3,8,,,C,10-5,4,12,16,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
55,,,,4/17/17,,4/17/17,,WE,3,9,,,C,10-3,0,0,0,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
57,,,,4/17/17,,4/17/17,,WE,3,9,,,C,10-4,0,0,0,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
59,,,,4/17/17,,4/17/17,,WE,3,9,,,C,10-5,0,0,0,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
61,,,,4/17/17,,4/17/17,,WE,3,10,,,C,10-3,1368,1137,2505,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
63,,,,4/17/17,,4/17/17,,WE,3,10,,,C,10-4,208,217,425,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
65,,,,4/17/17,,4/17/17,,WE,3,10,,,C,10-5,32,23,55,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
67,,,,4/17/17,,4/17/17,,WE,3,11,,,C,10-3,669,642,1311,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
69,,,,4/17/17,,4/17/17,,WE,3,11,,,C,10-4,71,73,144,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
71,,,,4/17/17,,4/17/17,,WE,3,11,,,C,10-5,21,19,40,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
73,,,,4/17/17,,4/17/17,,WE,3,12,,,C,10-3,212,190,402,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
75,,,,4/17/17,,4/17/17,,WE,3,12,,,C,10-4,31,38,69,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
77,,,,4/17/17,,4/17/17,,WE,3,12,,,C,10-5,4,6,10,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
79,7/11/17,141 3152,,4/17/17,HB,4/17/17,,WE,3,13,,,C,10-3,239,173,412,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
81,7/11/17,141 3153,,4/17/17,HB,4/17/17,,WE,3,13,,,C,10-4,34,35,69,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
83,7/11/17,141 3154,,4/17/17,HB,4/17/17,,WE,3,13,,,C,10-5,4,10,14,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
85,7/11/17,141 3155,,4/17/17,HB,4/17/17,,WE,3,14,,,C,10-3,520,347,867,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
87,7/11/17,141 3156,,4/17/17,HB,4/17/17,,WE,3,14,,,C,10-4,105,97,202,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
89,7/11/17,141 3157,,4/17/17,HB,4/17/17,,WE,3,14,,,C,10-5,15,14,29,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
91,7/11/17,141 3158,,4/17/17,HB,4/17/17,,WE,3,15,,,C,10-3,380,237,617,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
93,7/11/17,141 3159,,4/17/17,HB,4/17/17,,WE,3,15,,,C,10-4,91,82,173,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
