,Photo Date,Photo ID ,Photographed By,Date Plate,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))
","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
1,,,,,,4/24/17,,WE,4,1:1,,,B,10-3,99,119,218,analog,,,,,,,vegetative,spore,,,,,,,,,,,
3,,,,,,4/24/17,,WE,4,1:1,,,B,10-4,13,17,30,analog,,,,,,,vegetative,spore,,,,,,,,,,,
5,,,,,,4/24/17,,WE,4,1:1,,,B,10-5,2,2,4,analog,,,,,,,vegetative,spore,,,,,,,,,,,
7,,,,4/26/17,,4/24/17,,WE,4,1,,,C,10-3,51,588,639,analog,AZD,KMM,,,,,vegetative,spore,,,,,,,,,,,
9,5/17/17,125 1947,,4/26/17,HMP,4/24/17,,WE,4,1,,,C,10-4,3,44,47,analog,,AZD,,,,,vegetative,spore,,,,,,,,,,,
11,7/7/17,139 2878,FW,4/26/17,HMP,4/24/17,,WE,4,1,,,C,10-5,0,3,3,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,
13,,,,4/26/17,,4/24/17,,WE,4,2,,,C,10-3,42,306,348,analog,AZD,KMM,,,,,vegetative,spore,,,,,,,,,,,
15,5/17/17,125 1946,,4/26/17,HMP,4/24/17,,WE,4,2,,,C,10-4,4,87,91,analog,,AZD,,,,,vegetative,spore,,,,,,,,,,,
17,7/7/17,139 2879,FW,4/26/17,HMP,4/24/17,,WE,4,2,,,C,10-5,0,5,5,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,
19,,,,4/26/17,,4/24/17,,WE,4,3,,,C,10-3,51,880,931,analog,AZD,KMM,,,,,vegetative,spore,,,,,,,,,,,
21,5/17/17,125 1945,,4/26/17,HMP,4/24/17,,WE,4,3,,,C,10-4,15,145,160,analog,,AZD,,,,,vegetative,spore,,,,,,,,,,,
23,7/7/17,139 2880,FW,4/26/17,HMP,4/24/17,,WE,4,3,,,C,10-5,0,7,7,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,
25,,,,4/26/17,,4/24/17,,WE,4,4,,,C,10-3,90,1188,1278,analog,AZD,KMM,,,,,vegetative,spore,,,,,,,,,,,
