,Photo Date,Photo ID ,Photographed By,Date Plate,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))
","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,6/2/17,133 2644,FW,5/1/17,HB,5/1/17,,WE,5,1:1,,,B,10-3,35,242,277,analog,,,,,,,vegetative,spore,,,
3,6/2/17,133 2645,FW,5/1/17,HB,5/1/17,,WE,5,1:1,,,B,10-4,2,19,21,analog,,,,,,,vegetative,spore,,,
5,6/2/17,133 2646,FW,5/1/17,HB,5/1/17,,WE,5,1:1,,,B,10-5,0,2,2,analog,,,,,,,vegetative,spore,,,
7,7/11/17,140 3059,FW,5/3/17,HB,5/1/17,,WE,5,1,,,C,10-3,32,742,774,analog,FW,,,,,,vegetative,spore,,,
9,7/12/17,142 3189,FW,5/3/17,HB,5/1/17,,WE,5,1,,,C,10-4,4,88,92,analog,BH,FW,,,,,vegetative,spore,,,
11,7/12/17,142 3198,FW,5/3/17,HB,5/1/17,,WE,5,1,,,C,10-5,1,27,28,analog,HP,CK,,,,,vegetative,spore,,,
13,7/11/17,140 3060,FW,5/3/17,HB,5/1/17,,WE,5,2,,,C,10-3,25,460,485,analog,FW,,,,,,vegetative,spore,,,
15,7/12/17,142 3190,FW,5/3/17,HB,5/1/17,,WE,5,2,,,C,10-4,6,195,201,analog,BH,FW,,,,,vegetative,spore,,,
17,7/12/17,142 3199,FW,5/3/17,HB,5/1/17,,WE,5,2,,,C,10-5,1,20,21,analog,HP,CK,,,,,vegetative,spore,,,
19,7/11/17,140 3061,FW,5/3/17,HB,5/1/17,,WE,5,3,,,C,10-3,26,791,817,analog,FW,,,,,,vegetative,spore,,,
21,7/12/17,142 3191,FW,5/3/17,HB,5/1/17,,WE,5,3,,,C,10-4,2,73,75,analog,BH,FW,,,,,vegetative,spore,,,
23,7/12/17,142 3200,FW,5/3/17,HB,5/1/17,,WE,5,3,,,C,10-5,0,38,38,analog,HP,CK,,,,,vegetative,spore,,,
25,7/11/17,140 3062,FW,5/3/17,HB,5/1/17,,WE,5,4,,,C,10-3,30,581,611,analog,FW,,,,,,vegetative,spore,,,
27,,,,,,5/1/17,,WE,5,4,,,C,10-4,4,133,137,analog,PJW,HB,,,,,vegetative,spore,,,
29,7/12/17,142 3201,FW,5/3/17,HB,5/1/17,,WE,5,4,,,C,10-5,1,24,25,analog,HP,CK,,,,,vegetative,spore,,,
31,7/11/17,140 3063,FW,5/3/17,HB,5/1/17,,WE,5,5,,,C,10-3,54,580,634,analog,FW,,,,,,vegetative,spore,,,
33,,,,,,5/1/17,,WE,5,5,,,C,10-4,4,90,94,analog,PJW,HB,,,,,vegetative,spore,,,
35,7/12/17,142 3202,FW,5/3/17,HB,5/1/17,,WE,5,5,,,C,10-5,0,34,34,analog,HP,CK,,,,,vegetative,spore,,,
37,7/11/17,140 3064,FW,5/3/17,HB,5/1/17,,WE,5,6,,,C,10-3,31,661,692,analog,FW,,,,,,vegetative,spore,,,
39,,,,,,5/1/17,,WE,5,6,,,C,10-4,1,40,41,analog,PJW,HB,,,,,vegetative,spore,,,
41,7/12/17,142 3203,FW,5/3/17,HB,5/1/17,,WE,5,6,,,C,10-5,2,17,19,analog,HP,CK,,,,,vegetative,spore,,,
43,7/11/17,140 3065,FW,5/3/17,HB,5/1/17,,WE,5,7,,,C,10-3,45,1066,1111,analog,FW,,,,,,vegetative,spore,,,
45,,,,,,5/1/17,,WE,5,7,,,C,10-4,7,149,156,analog,PJW,HB,,,,,vegetative,spore,,,
47,7/12/17,142 3204,FW,5/3/17,HB,5/1/17,,WE,5,7,,,C,10-5,2,31,33,analog,HP,CK,,,,,vegetative,spore,,,
49,7/12/17,140 3192,FW,5/3/17,HB,5/1/17,,WE,5,8,,,C,10-3,9,235,244,analog,BH,FW,,,,,vegetative,spore,,,streaks
51,,,,,,5/1/17,,WE,5,8,,,C,10-4,3,96,99,analog,PJW,HB,,,,,vegetative,spore,,,
53,7/12/17,142 3205,FW,5/3/17,HB,5/1/17,,WE,5,8,,,C,10-5,2,31,33,analog,HP,CK,,,,,vegetative,spore,,,
55,7/12/17,142 3193,FW,5/3/17,HB,5/1/17,,WE,5,9,,,C,10-3,36,550,586,analog,BH,FW,,,,,vegetative,spore,,,streaks
57,,,,,,5/1/17,,WE,5,9,,,C,10-4,1,63,64,analog,PJW,HB,,,,,vegetative,spore,,,
59,7/12/17,142 3206,FW,5/3/17,HB,5/1/17,,WE,5,9,,,C,10-5,1,37,38,analog,HP,CK,,,,,vegetative,spore,,,
61,7/12/17,142 3194,FW,5/3/17,HB,5/1/17,,WE,5,10,,,C,10-3,45,516,561,analog,BH,FW,,,,,vegetative,spore,,,streaks
63,,,,,,5/1/17,,WE,5,10,,,C,10-4,5,160,165,analog,PJW,HB,,,,,vegetative,spore,,,
65,5/26/17,131 2487,,5/3/17,HB,5/1/17,,WE,5,10,,,C,10-5,0,41,41,analog,,KMM,FW,,,,vegetative,spore,,,
