,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
1,6/1/17,133 2614,FW,5/29/17,KMM,5/22/17,,WA,8,1:1,,,B,10-3,132,237,369,analog,,,,,,,vegetative,spore,,,,,,,,,,,,
3,6/1/17,133 2615,FW,5/29/17,KMM,5/22/17,,WA,8,1:1,,,B,10-4,18,29,47,analog,,,,,,,vegetative,spore,,,,,,,,,,,,
5,6/1/17,133 2616,FW,5/29/17,KMM,5/22/17,,WA,8,1:1,,,B,10-5,3,1,4,analog,,,,,,,vegetative,spore,,,,,,,,,,,,
7,7/18/17,145 3403,FW,5/31/17,KMM,5/22/17,,WA,8,1,,,C,10-3,14,125,139,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
9,7/18/17,145 3404,FW,5/31/17,KMM,5/22/17,,WA,8,1,,,C,10-4,3,27,30,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
11,7/18/17,145 3405,FW,5/31/17,KMM,5/22/17,,WA,8,1,,,C,10-5,0,4,4,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
13,7/18/17,145 3406,FW,5/31/17,KMM,5/22/17,,WA,8,2,,,C,10-3,67,708,775,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
15,7/18/17,145 3407,FW,5/31/17,KMM,5/22/17,,WA,8,2,,,C,10-4,1,40,41,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
17,7/18/17,145 3408,FW,5/31/17,KMM,5/22/17,,WA,8,2,,,C,10-5,0,7,7,analog,,SLD,KL,,,,vegetative,spore,,,Contaminated,,,,,,,,,
19,7/18/17,145 3409,FW,5/31/17,KMM,5/22/17,,WA,8,3,,,C,10-3,32,452,484,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
21,7/18/17,145 3410,FW,5/31/17,KMM,5/22/17,,WA,8,3,,,C,10-4,11,71,82,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
23,7/18/17,145 3411,FW,5/31/17,KMM,5/22/17,,WA,8,3,,,C,10-5,0,6,6,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
25,8/14/17,153 3981,FW,5/31/17,KMM,5/22/17,,WA,8,4,,,C,10-3,27,163,190,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
27,8/14/17,153 3982,FW,5/31/17,KMM,5/22/17,,WA,8,4,,,C,10-4,2,48,50,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
29,8/14/17,153 3983,FW,5/31/17,KMM,5/22/17,,WA,8,4,,,C,10-5,1,5,6,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
31,8/14/17,153 3984,FW,5/31/17,KMM,5/22/17,,WA,8,5,,,C,10-3,53,539,592,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
33,8/14/17,153 3985,FW,5/31/17,KMM,5/22/17,,WA,8,5,,,C,10-4,22,163,185,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
35,8/14/17,153 3986,FW,5/31/17,KMM,5/22/17,,WA,8,5,,,C,10-5,2,11,13,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
37,8/14/17,153 3987,FW,5/31/17,KMM,5/22/17,,WA,8,6,,,C,10-3,48,401,449,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
39,8/14/17,153 3988,FW,5/31/17,KMM,5/22/17,,WA,8,6,,,C,10-4,3,111,114,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
41,8/14/17,153 3989,FW,5/31/17,KMM,5/22/17,,WA,8,6,,,C,10-5,0,6,6,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
43,7/18/17,145 3430,FW,5/31/17,KN,5/22/17,,WA,8,7,,,C,10-3,56,448,504,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
