,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,02/22/18,176 5531,,06/07/17,HB,06/05/17,,,9,1:1,,,C,10-3,43,6,49,analog,KL,FW,FW,,,,spore,vegetative,,,
3,02/22/18,176 5532,,06/07/17,HB,06/05/17,,,9,1:1,,,C,10-4,9,1,10,analog,KL,FW,FW,,,,spore,vegetative,,,
5,02/22/18,176 5530,,06/07/17,HB,06/05/17,,,9,1:1,,,C,10-5,2,0,2,analog,KL,FW,FW,,,,spore,vegetative,,,
7,10/03/17,158 4293,,06/07/17,HMP,06/05/17,,,9,1,,,C,10-3,209,3,212,analog,,FW,FW,,,,spore,vegetative,,,
9,10/03/17,158 4302,,06/07/17,HMP,06/05/17,,,9,1,,,C,10-4,19,1,20,analog,,FW,FW,,,,spore,vegetative,,,"GoT was written on the plate, believed to be incorrect as it was with the others in Treatment stack "
11,10/03/17,158 4297,,06/07/17,HMP,06/05/17,,,9,2,,,C,10-5,1,0,1,analog,,FW,FW,,,,spore,vegetative,,,
13,10/03/17,158 4298,,06/07/17,HMP,06/05/17,,,9,2,,,C,10-3,72,3,75,analog,,FW,FW,,,,spore,vegetative,,,
15,10/03/17,158 4291,,06/07/17,HMP,06/05/17,,,9,2,,,C,10-4,13,0,13,analog,,FW,FW,,,,spore,vegetative,,,"GoT was written on the plate, believed to be incorrect as it was with the others in Treatment stack "
17,10/03/17,158 4300,,06/07/17,HMP,06/05/17,,,9,2,,,C,10-5,0,0,0,analog,,FW,FW,,,,spore,vegetative,,,
19,10/03/17,158 4290,,06/07/17,HMP,06/05/17,,,9,3,,,C,10-3,33,0,33,analog,,FW,FW,,,,spore,vegetative,,,
21,10/03/17,158 4292 ,,06/07/17,HMP,06/05/17,,,9,3,,,C,10-4,1,0,1,analog,,FW,FW,,,,spore,vegetative,,,
23,10/03/17,158 4289,,06/07/17,HMP,06/05/17,,,9,3,,,C,10-5,0,0,0,analog,,FW,FW,,,,spore,vegetative,,,
25,10/25/17,165 4777,,06/07/17,HMP,06/05/17,,,9,4,,,C,10-3,39,0,39,analog,CK,CK,FW,,,,spore,vegetative,,,
27,10/25/17,165 4778,,06/07/17,HMP,06/05/17,,,9,4,,,C,10-4,0,0,0,analog,CK,CK,FW,,,,spore,vegetative,,,
29,10/25/17,165 4779,,06/07/17,HMP,06/05/17,,,9,4,,,C,10-5,20,0,20,analog,CK,CK,FW,,,,spore,vegetative,,,
31,10/25/17,165 4780,,06/07/17,HMP,06/05/17,,,9,5,,,C,10-3,10,0,10,analog,CK,CK,FW,,,,spore,vegetative,,,
33,10/25/17,165 4781,,06/07/17,HMP,06/05/17,,,9,5,,,C,10-4,0,0,0,analog,CK,CK,FW,,,,spore,vegetative,,,
35,10/25/17,165 4782,,06/07/17,HMP,06/05/17,,,9,5,,,C,10-5,0,0,0,analog,CK,CK,FW,,,,spore,vegetative,,,
37,10/25/17,165 4783,,06/07/17,HMP,06/05/17,,,9,6,,,C,10-3,20,0,20,analog,CK,CK,FW,,,,spore,vegetative,,,
39,10/25/17,165 4784,,06/07/17,HMP,06/05/17,,,9,6,,,C,10-4,0,0,0,analog,CK,CK,FW,,,,spore,vegetative,,,
41,10/25/17,165 4785,,06/07/17,HMP,06/05/17,,,9,6,,,C,10-5,0,0,0,analog,CK,CK,FW,,,,spore,vegetative,,,
43,10/25/17,165 4786,,06/07/17,HMP,06/05/17,,,9,7,,,C,10-3,181,3,184,analog,,CK,FW,,,,spore,vegetative,,,
45,10/25/17,165 4787,,06/07/17,HMP,06/05/17,,,9,7,,,C,10-4,7,0,7,analog,,CK,FW,,,,spore,vegetative,,,
47,10/25/17,165 4788,,06/07/17,HMP,06/05/17,,,9,7,,,C,10-5,21,0,21,analog,,CK,FW,,,,spore,vegetative,,,
49,10/25/17,165 4789,,06/07/17,HMP,06/05/17,,,9,8,,,C,10-3,161,4,165,analog,,CK,FW,,,,spore,vegetative,,,
51,10/25/17,165 4790,,06/07/17,HMP,06/05/17,,,9,8,,,C,10-4,17,1,18,analog,,CK,FW,,,,spore,vegetative,,,
53,10/25/17,165 4791,,06/07/17,HMP,06/05/17,,,9,8,,,C,10-5,44,0,44,analog,,CK,FW,,,,spore,vegetative,,,
55,10/25/17,165 4792,,06/07/17,HMP,06/05/17,,,9,9,,,C,10-3,47,1,48,analog,,CK,FW,,,,spore,vegetative,,,
57,10/25/17,165 4793,,06/07/17,HMP,06/05/17,,,9,9,,,C,10-4,3,0,3,analog,,CK,FW,,,,spore,vegetative,,,
59,10/25/17,165 4794,,06/07/17,HMP,06/05/17,,,9,9,,,C,10-5,1,0,1,analog,,CK,FW,,,,spore,vegetative,,,
